id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4.73183E+15,LdmaFw4nZ,3012218365,如是言,#春晚#今年语言类节目是怎么了，这本子不煽情就不能画上句号吗整点宫廷玉液酒萝卜开会正月里开花十四五六皇军托我给您带个话儿想不到你朱时茂浓眉大眼的也叛变革命了大锤八十小锤四十我叫白云我叫黑土我七十一我七十五不行吗,,,,春晚,1,2,35,2022/1/31 22:53,微博轻享版,,,,,普通用户
4.73183E+15,Ldm7Xp8wY,6111084823,孤独的狼ps炸元宵版,我叫白云我叫黑土,,,,,0,0,0,2022/1/31 22:47,张艺兴的Xback,https://wx1.sinaimg.cn/large/006Fzukfly1gyx8nkphu2j30u01uowmm.jpg,,,,普通用户
4.73574E+15,LeZJV3YTA,7606781980,小娜不吃萝卜,有个可爱小同胞鲨疯了鲨到我的ins了我真的被可爱死！,,,,,44212,15965,236250,2022/2/11 17:28,iPhone 13 Pro Max,"https://wx4.sinaimg.cn/large/008iNhtWgy1gz9p8hb480j30vt0b974k.jpg,https://wx1.sinaimg.cn/large/008iNhtWgy1gz9p8gwqeyj30u01bbtai.jpg",,,,
4.73585E+15,Lf2xt6NFg,1771930650,连夜改名嘻嘻嘻,哈哈哈哈哈哈哈我叫白云我叫黑土！//@秋田六千:我笑疯了//@M大王叫我来巡山:？。新时代谍战接头。。//@DAEEEEEEE:哈哈哈哈哈哈哈哈哈哈哈哈尼玛这真的韩国人肯定装不了//@表志啃黄瓜:哈哈哈哈哈哈哈哈//@你别说还真是这样:国人的一些接头对话//@铁酱酱酱酱:救//@汉南洞富婆:《一些你是重国人的证据》,,,"秋田六千,M大王叫我来巡山,DAEEEEEEE,表志啃黄瓜,你别说还真是这样,铁酱酱酱酱,汉南洞富婆",,0,0,236250,2022/2/12 0:35,微博网页版,,,4.73574E+15,,普通用户
4.74271E+15,LhV4GjZSi,6444738504,谷子乖乖崽,viko超话viko一年的变化2021.06.27——2022.03.02,,,,,34,36,485,2022/3/2 23:06,viko超话,,,,,
4.74285E+15,LhYLZC801,7462971367,祝我死得其所,我叫白云我叫黑土//@vivipera3:妹已经是老夫老夫了，per还带着初识的紧张羞涩,,,vivipera3,,0,0,485,2022/3/3 8:31,vivo X60 蔡司影像,,,4.74271E+15,,普通用户
4.75145E+15,LlAztx1xX,6785058897,啊幸2234,你大妈已经不是你大妈了你大爷永远是你大爷什么名人我看你就是个人名红旗招展锣鼓喧天人山人海公鸡中的战斗机我叫白云我叫黑土他是我老公她是我老母什么时候能再看到这样的小品呢我十分想念赵本山,,,,,0,0,1,2022/3/27 2:15,vivo手机,,,,,普通用户
4.76686E+15,Ls3em0jMI,6596132943,阳澄湖上的龟龟,我叫白云我叫黑土，突然想到了一个小品,,,,,0,0,0,2022/5/8 14:15,Redmi K40,,,,,普通用户
4.77163E+15,Lu3keqQYV,6593480327,盆塘区时尚达人,220521｜ttline特别喜欢别人夸奖自己的小猫好可爱L盆塘区时尚达人的微博视频,,,,,77,5,430,2022/5/21 18:10,微博视频号,,"http://f.video.weibocdn.com/o0/GXHKo7Ralx07We0CEg2k010412008azf0E010.mp4?label=mp4_720p&template=1268x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765418815&ssig=vTC%2BuP20S4&KID=unistore,video",,,
4.77166E+15,Lu4dXDbr0,7755359768,-yawnduck-,你自己看看这身像不像我叫白云我叫黑土我属鸡我属虎,,,,,0,0,430,2022/5/21 20:27,荣耀30 Pro 5G,,,4.77163E+15,,普通用户
4.78254E+15,LyD7BkUyq,3052650545,小小打气桶,发现网友也挺好笑的，昨天还在上官喜爱的热搜里大骂明星不要卖惨，今天就开始共情跟宋丹丹一起录综艺的明星太惨了老前辈压迫感真烦，丝毫没有昨天那股子赚那么多钱啥不能干的想法了。要我别说什么社恐什么前辈压迫什么联欢会团建了，宋丹丹要我出节目我可以当她面多机位表演下蛋公鸡公鸡中的战斗机欧耶，再不满意还可以表演我叫白云我叫黑土这是我老公这是我老母,,,,,0,1,0,2022/6/20 20:39,Redmi K30 Pro 真旗舰,,,,,普通用户
4.78499E+15,LzF0xbQYI,7187025612,于时ys,这也算联动了我正在听随机波动StochasticVolatility的《双雪涛对话梁龙：我叫白云我叫黑土，我要孤独我要幸福|随机波动·宝珀理想国文学奖》，分享给你听听～O网页链接（via@小宇宙播客App）,,,小宇宙播客App,,0,0,0,2022/6/27 15:17,小宇宙FM,,,,,普通用户
4.7858E+15,LA02RnwwZ,6370209831,兔兔老婆在干嘛,我叫白云我叫黑土,,,,,0,0,0,2022/6/29 20:51,iPhone客户端,,,,,普通用户
4.80499E+15,M25U92qDM,5732227826,壯漢嬤,白天青明老是给我一种我叫白云我叫黑土我71我75我属鸡我属虎他是我老公她是我老母的即视感,,,,,0,1,2,2022/8/21 20:00,iPhone,,,,,普通用户
4.81432E+15,M60s2xp9q,6319436971,MLBYWT,220916入境??怎么还要牵手么LMyLifeBeforeYouWasTrash的微博视频,,,,,19,5,85,2022/9/16 13:28,微博视频号,,"http://f.video.weibocdn.com/o0/vlMLmBRYlx07ZfUl67c4010412002yjt0E010.mp4?label=mp4_720p&template=720x720.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765420276&ssig=V%2FMBy5dxMz&KID=unistore,video",,,
4.81433E+15,M60JT6g4x,3209848301,撑伞乘三成山,我叫白云我叫黑土我今年七十三我今年七十五,,,,,0,0,85,2022/9/16 14:12,iPhone,,,4.81432E+15,,普通用户
4.81556E+15,M6wMn5Lda,6604374263,琥珀瑰丽,我也永远喜欢北方喜剧小品哈哈哈我叫白云我叫黑土我七十一我七十五姓齐的网友叫大爷大妈给儿子起名儿——齐得龙齐东强齐得龙东强下蛋公鸡公鸡中的战斗机欧耶！那家伙是锣鼓喧天鞭炮齐鸣红旗招展人山人海我到现在都还背得出的还有大锤8~0~8~0~80！这些梗我都如数家珍哈哈哈我的东北话就是受这些小品的启蒙谢谢梓浩@江梓浩KongChiho！我喜欢！梦回童年！(虽然我01年，但我真的很喜欢白云黑土和那些老牌小品演员哈哈哈哈),,,江梓浩KongChiho,,0,6,0,2022/9/19 23:46,vivo S9e 极夜自拍,,,,,普通用户
4.81592E+15,M6G3GvJKA,5272011556,现在停止推土,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@是小鱼啊_:这是我老公这是我老母//@丶星空冬雪:我属鸡，我属虎//@小赵儿冷冰冰:我叫白云我叫黑土我71我75,,,"是小鱼啊_,丶星空冬雪,小赵儿冷冰冰",,0,0,0,2022/9/20 23:23,iPhone客户端,,,,,普通用户
4.81918E+15,M830E40UV,1928878291,汐玫依,“我亲爱的弟弟”,,,,,42,47,514,2022/9/29 23:39,,"https://wx2.sinaimg.cn/large/72f858d3gy1h6nwi1k49fj21kw1kwnea.jpg,https://wx3.sinaimg.cn/large/72f858d3gy1h6nwhueuacj21kw1kwtsy.jpg,https://wx1.sinaimg.cn/large/72f858d3gy1h6nwhxicdxj21kw10vdo3.jpg,https://wx4.sinaimg.cn/large/72f858d3gy1h6nwhzdq4dj21kw12bgv1.jpg",,,,
4.81989E+15,M8llH4Yzr,5718414252,RainShine__,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@掉点馅饼:我叫白云我叫黑土，我七十一我七十五（dbq宋兄真别美黑了,,,掉点馅饼,,0,1,514,2022/10/1 22:20,HUAWEI Mate 40,,,4.81918E+15,,普通用户
4.82484E+15,Maq7ivp1g,5063741957,BB熊二吖,我真的哔了狗了,,,,,1,11,13,2022/10/15 14:09,,https://wx2.sinaimg.cn/large/005wGWBngy1h75xyldg9ej316o1kwwzi.jpg,,,,
4.82484E+15,Maq9IE9HS,6572458214,你管我我就要嗑,快进到老年爱情了是吧//@花汐:我叫白云我叫黑土,,,花汐,,0,0,13,2022/10/15 14:15,HUAWEI nova 2s,,,4.82484E+15,,普通用户
4.82594E+15,MaSPiC6i9,6197747844,Aroc_c,ゴメン,,,,,66,8,28,2022/10/18 15:15,iPhone 13 Pro,"https://wx3.sinaimg.cn/large/006Lr7kUly1h79gp6p6rgj30ej0ejwgj.jpg,https://wx3.sinaimg.cn/large/006Lr7kUly1h79gpeabtlj30ci0ci0u2.jpg",,,,
4.82602E+15,MaUSx4BLd,5274382010,todayis_壱只温蒂,靠啊本天津人的小品魂都冒出来了…“我叫白云我叫黑土我71我75我属鸡我属虎这是我老公这是我老母Hello啊饭已OK了下来咪西吧”（……,,,,,0,3,28,2022/10/18 20:28,HUAWEI Mate 40 Pro,,,4.82594E+15,,普通用户
4.83397E+15,MefOKbsr9,5954956633,qly1314zm,BBBuild超话第一反应[单身青蛙][单身青蛙][单身青蛙][报税][报税][报税],,,,,10,125,218,2022/11/9 19:17,BBBuild超话,"https://wx3.sinaimg.cn/large/006v0ofDly1h7z3cp3lfqj310n0kq0wr.jpg,https://wx3.sinaimg.cn/large/006v0ofDly1h7z3cpbs1rj30go07nn0q.jpg",,,,
4.83402E+15,MegZytFC6,6336155099,土豆想发财,[单身青蛙]//@·快乐小狗在摆烂·:我叫白云我叫黑土[单身青蛙]//@Twenty20-:[单身青蛙],,,"·快乐小狗在摆烂·,Twenty20-",,0,0,218,2022/11/9 22:17,iPhone客户端,,,4.83397E+15,,普通用户
4.83401E+15,MegO6DWPk,5949342632,阿谣Angel,哈哈哈哈哈哈哈哈凑//@废话输出x:哈哈哈//@-日暮星辰-:哈哈哈[单身青蛙][单身青蛙][单身青蛙]//@一杯菟井橙·:你萌[单身青蛙]//@·快乐小狗在摆烂·:我叫白云我叫黑土[单身青蛙]//@Twenty20-:[单身青蛙],,,"废话输出x,-日暮星辰-,一杯菟井橙·,·快乐小狗在摆烂·,Twenty20-",,0,0,218,2022/11/9 21:49,vivo X80,,,4.83397E+15,,普通用户
4.83715E+15,MfAomDwHD,5851658342,涂装企鹅,好呆毫米我叫白云我叫黑土L涙痣小狗的微博视频,,,,,0,4,0,2022/11/18 13:30,Android,,"http://f.video.weibocdn.com/u0/tjiqlJkmgx080SoDqcEg01041200QVdA0E010.mp4?label=mp4_720p&template=1264x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765421043&ssig=66gXsyzRFJ&KID=unistore,video",,,普通用户
4.85426E+15,MmLCar6jZ,2826621374,我就是老昌平,#刻在脑子里的春晚名场面#我叫白云我叫黑土，赵本山老师的小品我能直接把台词背出来，真的太经典了,,,,刻在脑子里的春晚名场面,0,0,0,2023/1/4 18:57,nova 9 精彩由我摄定,,,,,普通用户
4.85462E+15,MmUUo3bhy,7659125909,就是爱深啊,我叫白云我叫黑土我71我75,,,,,0,0,0,2023/1/5 18:36,东北大米Android,,,,,普通用户
4.8586E+15,MoAmTejDQ,6288534957,被小狗选中的人类,这组圆墩墩好可爱hh但我莫名：我叫白云我叫黑土我七十一我七十五这是我老公这是我老母啊不是。。这是我老伴儿,,,,,0,0,0,2023/1/16 17:59,iPhone客户端,,,,,普通用户
4.85856E+15,MoztICi07,3292897425,Nuu4,这个帽子的名字《我叫白云我叫黑土》,,,,,0,9,8,2023/1/16 15:44,iPhone 14 Pro Max,"https://wx3.sinaimg.cn/large/c445a091ly1ha5jae0oj3j20u00u0wkh.jpg,https://wx4.sinaimg.cn/large/c445a091ly1ha5jaeammaj20u00u0tcz.jpg,https://wx2.sinaimg.cn/large/c445a091ly1ha5jadnezpj20u0141484.jpg,https://wx3.sinaimg.cn/large/c445a091ly1ha5jaennw7j20u01407ac.jpg",,,,普通用户
4.85931E+15,MoT1I2XUr,7721977987,我要把你妈妈抓走,饿死妹//@Saku鸦:我叫白云我叫黑土//@AAA罐装果酱零售价一億萬元:啊啊啊啊啊啊啊啊,,,"Saku鸦,AAA罐装果酱零售价一億萬元",,1,0,0,2023/1/18 17:29,抓来的Android,,,,,普通用户
4.85927E+15,MoRUYpoTl,7740494814,弟国玫瑰,啊啊啊啊啊啊啊//@崩溃是常态厨:啊啊啊啊//@崩溃是常态:我真的是。。。//@Saku鸦:我叫白云我叫黑土//@AAA罐装果酱零售价一億萬元:啊啊啊啊啊啊啊啊,,,"崩溃是常态厨,崩溃是常态,Saku鸦,AAA罐装果酱零售价一億萬元",,0,0,0,2023/1/18 14:40,微博小程序,,,,,普通用户
4.85926E+15,MoRKuzTzI,6492161950,YUAYUEA,每年的春节晚会总是让我反复想起的经典的台词非“我叫白云我叫黑土”莫属，总要模仿两句，大家都会开心的笑一笑，每年春节晚会都会有各种层出不穷，新鲜的梗和笑点，但是有些经典的却难忘。#值得记住的春晚名场面##有位青年#@葱圈儿@用户7805752191@那我就咬你,,,"葱圈儿,用户7805752191,那我就咬你","值得记住的春晚名场面 ,有位青年",0,0,0,2023/1/18 14:14,HUAWEI P30 Pro,"https://wx3.sinaimg.cn/large/0075mrTwly1ha7rz1gcngj30u01hcn9w.jpg,https://wx3.sinaimg.cn/large/0075mrTwly1ha7rz1qurdj30qo0zk422.jpg,https://wx4.sinaimg.cn/large/0075mrTwly1ha7rz21kffj30u00mcq5k.jpg,https://wx1.sinaimg.cn/large/0075mrTwly1ha7rz29dgqj30ku0o3gnp.jpg",,,,普通用户
4.85926E+15,MoRFhFUvl,5671915348,箫鄠侯菁,我叫白云我叫黑土//@AAA罐装果酱零售价一億萬元:啊啊啊啊啊啊啊啊,,,AAA罐装果酱零售价一億萬元,,5,0,0,2023/1/18 14:01,咕唔咕鸟舍Android,,,,,黄V
4.85968E+15,Mp2uFDOV9,7236369382,听唔明咩_,我叫白云我叫黑土我七十一我七十五我属鸡我属虎这是我老公这是我老母,,,,,1,2,4,2023/1/19 17:36,微博轻享版,https://wx2.sinaimg.cn/large/007TJ4fcly1ha93eqr73sj30cn0iit9y.jpg,,,,普通用户
4.86044E+15,MpmiyqLNn,5819071204,野比大雄,春晚40周年了！说说春晚给你印象最深的台词。#春晚##春晚段子大考#,,,,"春晚,春晚段子大考",2084,438,6602,2023/1/21 20:01,Redmi K40S,https://wx4.sinaimg.cn/large/006lOefaly1habimh81iwj30zk0lcdno.jpg,,,,
4.8605E+15,MpnN3BTU2,1993544340,梨花树下惹相思,我叫白云我叫黑土……//@冷知识bot:小锤40大锤80//@Aoido弦歌:那真是锣鼓喧天鞭炮齐鸣红旗招展人山人海呀//@花阳甜一时://@渡劫大尊:打败你的不是天真是无鞋//@无声铃鹿·:下蛋公鸡公鸡中的战斗机欧耶,,,"冷知识bot,Aoido弦歌,花阳甜一时,渡劫大尊,无声铃鹿·",,0,0,6602,2023/1/21 23:49,嚯吼哈嘿的Android,,,4.86044E+15,,普通用户
4.86049E+15,MpnAywiaf,7727713796,快递土特产,我要看赵本山和宋丹丹的。。。我叫白云我叫黑土。。。他是我老公她是我老母。。。其他的小品都特么滚蛋。。。又尬又难看。。。,,,,,0,0,0,2023/1/21 23:18,Android,,,,,普通用户
4.86048E+15,Mpnmg53KY,1661988624,你好加菲大王,春晚小品相声脱口秀没一个好看的，好像再也没有看完春晚，就学到春晚经典语录了。大学的时候天天用还要啥自行车来表述我的满意程度。和大家闹着玩也天天说拐了拐了卖了卖了，我叫白云我叫黑土也张口就来。今年觉得还不错的就是杂技武术舞蹈，语言类的都很聒噪。看完朱洁静的舞蹈，和群里小伙伴夸夸夸之后，我今天的春晚就算看完了。,,,,,0,5,1,2023/1/21 22:42,OnePlus 8T,,,,,普通用户
4.86045E+15,Mpmy0FgTz,1970476207,呀是樱,还得是本山大叔！！！我叫白云我叫黑土,,,,,0,0,6602,2023/1/21 20:39,iPhone客户端,,,4.86044E+15,,普通用户
4.86044E+15,MpmlUrgkK,6030731062,假木头真十一,我叫白云我叫黑土我71我75//@冷知识bot:小锤40大锤80//@Aoido弦歌:那真是锣鼓喧天鞭炮齐鸣红旗招展人山人海呀//@花阳甜一时://@渡劫大尊:打败你的不是天真是无鞋//@无声铃鹿·:下蛋公鸡公鸡中的战斗机欧耶,,,"冷知识bot,Aoido弦歌,花阳甜一时,渡劫大尊,无声铃鹿·",,0,0,6602,2023/1/21 20:09,HUAWEI Mate 50 Pro,,,4.86044E+15,,普通用户
4.86107E+15,MpCPuyZ4y,6205710279,再来一罐-,我叫白云我叫黑土,,,,,0,9,10,2023/1/23 14:06,iPhone 14,"https://wx4.sinaimg.cn/large/006LYwJhgy1hadjtirbl2j30c50kvtao.jpg,https://wx2.sinaimg.cn/large/006LYwJhgy1hadjtj7m20j30ax0kzdhj.jpg",,,,普通用户
4.86411E+15,MqTNXmL1Q,6321060050,·Truffle·,我求你了谁教你这么戴帽子的….,,,,,10,49,134,2023/1/31 23:09,APO??iPhone客户端,"https://wx4.sinaimg.cn/large/006TMwtsly1han8hbt3d4j30sq173tdr.jpg,https://wx2.sinaimg.cn/large/006TMwtsly1han8hbflp5j30sb16gjwc.jpg,https://wx3.sinaimg.cn/large/006TMwtsly1han8hc2uv5j30sj16sgqj.jpg",,,,
4.86434E+15,MqZPAftX4,7218222118,Krabbypatty_蟹黄堡,我叫白云我叫黑土,,,,,0,0,134,2023/2/1 14:29,真我GT大师探索版,,,4.86411E+15,,普通用户
4.86754E+15,Msl1tEwfz,2507793553,连老师up,我叫白云我叫黑土哈哈#娱乐##明星#L连老师up的微博视频,,,,"娱乐,明星",0,0,0,2023/2/10 10:17,微博视频号,,"http://f.video.weibocdn.com/o0/0ymDputslx0832a9c0FO010412004hbS0E010.mp4?label=mp4_720p&template=1314x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765422080&ssig=r%2FLm5ALniq&KID=unistore,video",,,黄V
4.87126E+15,MtTJ44xSn,1869639990,eluppl·_·,A材夫妇超话准备去搭地铁回家的路上经过星巴克碰到尹材赫和asahi买完咖啡提着走出来??,,,,,685,43,1421,2023/2/20 16:28,A材夫妇超话,"https://wx2.sinaimg.cn/large/6f707136gy1hba19vn9tpj20wi1ls4bs.jpg,https://wx2.sinaimg.cn/large/6f707136gy1hba19wg918j20wi1lstm6.jpg",,,,
4.87129E+15,MtUuK7lbT,6553685740,追杀天使在人间,我叫白云我叫黑土我七十一我七十五我属鸡我属虎这是我老公这是我老母,,,,,0,0,1421,2023/2/20 18:25,iPhone客户端,,,4.87126E+15,,普通用户
4.87348E+15,MuPrm2VRs,7763211240,怕打蜡笔,？？？？？？你们俩真的很像校园恋爱,,,,,25,5,12,2023/2/26 19:23,HUAWEI P40 Pro 5G,https://wx4.sinaimg.cn/large/008tnDSwgy1hbh42mmo6yj32yo200qv5.jpg,,,,
4.87351E+15,MuQsrmWRE,7788682888,実夏柠檬,啊啊啊啊啊啊啊啊//@魔法猫猫崩溃饼干:我叫白云我叫黑土我今年26我今年27我属牛我属鼠//@_DnpImB:笑死了你俩这什么眼神//@炫疯大机脖:我爸妈背着我在餐桌上眉来眼去的时候也是这样//@刻薄叁叁:白云黑土校园版,,,"魔法猫猫崩溃饼干,_DnpImB,炫疯大机脖,刻薄叁叁",,0,0,12,2023/2/26 21:59,iPhone客户端,,,4.87348E+15,,普通用户
4.8735E+15,MuQ6QzW4C,2258799513,来自快乐星球的酒蒙子,这是我老公，这是我老母//@魔法猫猫崩溃饼干:我叫白云我叫黑土我今年26我今年27我属牛我属鼠//@_DnpImB:笑死了你俩这什么眼神//@炫疯大机脖:我爸妈背着我在餐桌上眉来眼去的时候也是这样//@刻薄叁叁:白云黑土校园版,,,"魔法猫猫崩溃饼干,_DnpImB,炫疯大机脖,刻薄叁叁",,0,0,12,2023/2/26 21:06,HUAWEI Mate 30 5G,,,4.87348E+15,,普通用户
4.87349E+15,MuPTo3xI8,6559269299,#NAME?,饶了我吧哈哈哈哈哈哈哈//@魔法猫猫崩溃饼干:我叫白云我叫黑土我今年26我今年27我属牛我属鼠//@_DnpImB:笑死了你俩这什么眼神//@炫疯大机脖:我爸妈背着我在餐桌上眉来眼去的时候也是这样//@刻薄叁叁:白云黑土校园版,,,"魔法猫猫崩溃饼干,_DnpImB,炫疯大机脖,刻薄叁叁",,1,0,12,2023/2/26 20:33,心碎受抚慰iPhone 14 Pro Max,,,4.87348E+15,,普通用户
4.87349E+15,MuPItq5oX,5301056613,假期简亓等于零,我叫白云我叫黑土我今年26我今年27我属牛我属鼠//@_DnpImB:笑死了你俩这什么眼神//@炫疯大机脖:我爸妈背着我在餐桌上眉来眼去的时候也是这样//@刻薄叁叁:白云黑土校园版,,,"_DnpImB,炫疯大机脖,刻薄叁叁",,10,21,12,2023/2/26 20:06,咬葡酱的狗HarmonyOS设备,,,4.87348E+15,,普通用户
4.88364E+15,Mz5Lpttbt,7157493657,BlueooT,我叫白云我叫黑土,,,,,0,0,0,2023/3/26 20:18,vivo手机,https://wx2.sinaimg.cn/large/007Oo745ly1hcdizueo1lj31400u07ba.jpg,,,,普通用户
